"Id","Weekly_Sales"
"1_1_2013-02-08",22513.3229370629
"1_1_2013-02-15",22513.3229370629
"1_1_2013-01-25",22513.3229370629
"1_1_2013-04-05",22513.3229370629
"1_1_2013-04-12",22513.3229370629
"1_1_2012-11-23",22513.3229370629
"1_1_2013-07-26",22513.3229370629
"1_1_2013-02-01",22513.3229370629
"1_1_2012-11-02",22513.3229370629
"1_1_2012-11-09",22513.3229370629
"1_1_2013-02-22",22513.3229370629
"1_1_2012-11-30",22513.3229370629
"1_1_2012-12-28",22513.3229370629
"1_1_2013-01-04",22513.3229370629
"1_1_2013-01-18",22513.3229370629
"1_1_2013-04-19",22513.3229370629
"1_1_2013-04-26",22513.3229370629
"1_1_2013-05-03",22513.3229370629
"1_1_2013-05-10",22513.3229370629
"1_1_2012-11-16",22513.3229370629
"1_1_2013-05-17",22513.3229370629
"1_1_2012-12-07",22513.3229370629
"1_1_2012-12-14",22513.3229370629
"1_1_2012-12-21",22513.3229370629
"1_1_2013-03-22",22513.3229370629
"1_1_2013-03-29",22513.3229370629
"1_1_2013-07-05",22513.3229370629
"1_1_2013-01-11",22513.3229370629
"1_1_2013-07-19",22513.3229370629
"1_1_2013-06-21",22513.3229370629
"1_1_2013-05-24",22513.3229370629
"1_1_2013-05-31",22513.3229370629
"1_1_2013-06-14",22513.3229370629
"1_1_2013-07-12",22513.3229370629
"1_1_2013-06-28",22513.3229370629
"1_1_2013-03-08",22513.3229370629
"1_1_2013-06-07",22513.3229370629
"1_1_2013-03-01",22513.3229370629
"1_1_2013-03-15",22513.3229370629
"13_1_2013-01-25",47020.4554545455
"13_1_2013-05-10",47020.4554545455
"13_1_2013-06-07",47020.4554545455
"13_1_2013-05-17",47020.4554545455
"13_1_2013-05-24",47020.4554545455
"13_1_2013-07-26",47020.4554545455
"13_1_2013-02-01",47020.4554545455
"13_1_2013-02-08",47020.4554545455
"13_1_2012-11-02",47020.4554545455
"13_1_2013-02-22",47020.4554545455
"31_1_2013-01-18",17356.6524475524
"31_1_2013-04-26",17356.6524475524
"31_1_2013-02-01",17356.6524475524
